,Review,Detail
82,My dog loves it,"I usually use science diet for my dog since when I first got him he needed to gain weight. However after a month or so, he wasnt excited to eat it and just would leave the bowl full of food all day but just love and beg for treats. I reduced his feedings, as well changing the times just incase that was a factor. I ended up having to add beef broth so he would eat it.I wanted to find a food with the same nutritional content as well as something that tasted good for him. He loves it, they have different forms of the kibble, as well as more than just one plain flavor so I can switch it up on him easily. Plus its a little cheaper than science diet which is really nice"
83,Dog Loved it great taste and nutritional value,"My dog Absolutely loves this flavor of Purina Pro Plan. I’ve been feeding him another variety of Purina Pro Plan for about 8mths now, but recently he became extremely ill with some kind of gastrointestinal sickness. He was pooping and vomiting blood, and I thought that I was going to lose him. Luckily, after $500 at the vet, he made a full recovery. While going through this whole ordeal, my vet recommended that I give him probiotics, so I decided to search for a dry dog food that contained probiotics. I was thrilled when I discovered that the brand of dog food that I was already feeding him carried a variety containing probiotics. I bought this shredded chicken variety, and like I said earlier, he absolutely loves it. I will definitely continue to feed him this variety of Purina Pro Plan unless he’s runs into some unforeseen issue with it in the future. Thank you Amazon and thank you Purina."
84,Probiotic WIN,"It was not fresh, lots of crumbs. The product was supposed to have shredded chicken mix, however it had little to none. My dog was very hesitant to eat and normally eats it enthusiastically?"
85,"It was not fresh, lots of crumbs",Our dog loves this food so much that we have to use one of the special bowls that helps him take longer to eat.
86,Our dog loves his food,"I struggled for years to find kibble my dog Suke got excited to eat, she would never eat at scheduled meal times and the food would sit in her bowl until she was starving, I had to add boiled chicken or bone broth every time. I tried all the expensive brands and bought a small bag of this one day when my scheduled delivery was late and we ran out, she loved it from the start and still gets excited for mealtime a year later. It was not a good fit for my other dog who has a sensitive stomach so he gets a different Purina Pro kibble."
87,My picky eater loves it!,It never gets old. I love having this on auto ship
88,Feeding my digs the same for more than 10 years,"If you give a crap about what your Pupper eats but can't afford raw or super elite this is 100% where to go. My last dog the salmon pink bag is ALL she could eat. Anything else she'd have a reaction of some exciting sort. My current dummy eats non stop. Feeding him only the excellent stuff would literally break me. I mix this with a grain free top of the line stuff and he's satisfied and healthy without me taking out a loan for dog food 🙄. Its healthy and gives them what they need without the junk. My dummy is a spoiled athletic prince but my ""beginning adulthood dog"" was healthy for a long time on this. When I needed help with my now baby's diet this was an easy choice."
89,Great option!,"As far as quality I choose Purina over other brands because with a little research its easy to see that many brands are not much more than a name attached to cheap or worse, dangerous, non-USA crap wrapped in fancy branding. My vet agrees so we go with the well know name of the food that have been feeding animals for decades. As far as acceptance our experience has been as follows:  I had been buying Purina Small dog Chicken with strips for my 1 year old Morkie and 1 year old HavaPoo and they LOVE IT The Havapoo inhales it and the dainty Morkie guards and slowly eats her share as the Havapoo tries for seconds. My wife suggested that we change things up because they ""might be getting bored"" of the same thing. Well, they are definitely less eager to the lamb or chicken without the strips flavor so the moral of the story... don't fix it until they wont eat it."
90,Both my dogs Love Purina but they didnt like Lamb flavor or the Chicken without strips,He eats it
91,My dog loves this,They don’t eat any other brand!
92,My Great Danes love it,Lazer loves this food!!! I am glad Amazon carries it. Always speedy delivery
93,Fast delivery,My dog literally drools when I go to scoop this.PPP is a high quality kibble I suggest to anyone. My dog was on purina one for awhile but after doing research I did the swtich. Her eyes have never been bright and her coat and never been shinier. Plus because it's high quality I use less. One bag lasts my 85 lb mutt for about 2 months. Buy this if you care about giving your dog the best but also have a budget to keep to. You dont need to spend 80 dollars on food to have a beautiful and healthy dogAdded pic of how my dog looks after two months on PPP
94,Best kibble you can buy,"ROSCOE’S REVIEW - I’m an Italian Greyhound/Chihuahua and am very finicky when it comes to food, but I love the taste of the shredded chicken Pro Plan. Yum! I give it 4 pawsHALO’S REVIEW - I’m a Pomeranian and I’m not finicky at all. Give me any type of food and I’ll eat it, but my Mom, my HUMAN MOM, she’s a vet tech and she only feeds us Purina Pro Plan. She says it’s the best food. She’s had dogs before us and has always fed them this. Even our feline sister gets Pro Plan."
95,Veterinary Technician Recommended,"The very first ingredient is real chicken, not chicken by-product.  In fact, this formula of dog food has very little by-product in it.  My wife and I believe it's some of the best dog food around.  Our dogs are all happy, healthy, energetic, and have shiny coats, so we must be doing something right.The dogs love this food.  It has real pieces of chicken mixed in and they all have developed a unique way to eat it - they take a mouthful at a time and drop it on the floor.  They then separate the real chicken pieces from the rest and eat those first.  After the real chicken is gone, then they clean up the mess from the floor.  Gotta get the good stuff first, I guess.  It's sort of comical to watch.The Amazon Prime price on this dog food is on par with buying it at a brick-and-mortar pet store locally, so it's not a super-deal in that regard.  What it does have going for it, though, is the advantage of being delivered right to our door step.  Since my wife and I both work, not needing to take time out to go to shopping for this food makes this deal very compelling."
96,Good quality dog food delivered right to your door!,"I belong to a lot of dog breed specific FB groups (Golden Doodle) and they all say overwhelmingly that Purina Pro Plan is one of the best dog foods on the market today. Our dog loves it and as long as it continues to get rave reviews from the members of my groups, we'll be sticking with it."
97,Our Dog Loves It,"I have bought this dog several times . The chicken is not in it anymore just crumbs of chicken.  DISGUSTED!! WITH PRICE AS IT IS NOW QUALITY IS CRAP !!  people can't afford to have a pet . We are regular people and can't eat a steak it's to expensive. Do you really need this much !!! greed is a terrible thing. How sad . I won't be buying your dog food anymore. No thank you ! Don't suggest anyone else buy it,not worth the money at all."
98,Greedy people!!,"I have a pitbull mix and he has been picky with his dog food lately. I must admit, I would notice that he wouldn't eat his dog food, so I would give him table food, but it's gotten to the point where he holds out on his own food because he knows he'll get table food from me. Well, when I put some of this food in his food bowl, he instantly eat all of it. I've fed him 3 times so far, and each time he has eaten his own food while my son and I have been at the table eating our own food. Any other time he would've been right beside us begging for food, so we can definitely tell that he loves his doggy food!"
99,My dog loves it!,"I have 2 dogs that are very old, like me. I had been feeding them Purina Pro Plan dog food for a long time. I was reading about different dog foods and decided to make a healthier change. They did not like the change. At all!  Even though the new food is supposed to be a good food and healthy, If they won't eat it, it isn't the right one for us. Pro Plan has chicken pieces in it and I see those pieces that they have freeze dried. The dog food pieces are mostly round with the chicken pieces in it. I was really getting concerned that one of my girls was getting her ribs showing again. I also have probiotics for dogs and when this bag came, I started mixing a scoop of it in the food. I am supposed to wet the food to dissolve the powder. They are thrilled with both. They are licking the bowls when there is no food left. I think it is wonderful to try to feed your dogs healthy food but this is the one I will always buy from now on. It is a great product! Thanks Purina"
100,like me. I had been feeding them Purina Pro ...,"We buy this dog food for our dog Macy, she's a Lab German Shepherd mix she's a good sized girl. At first she didn't seem to like this food but after a few days she would eat this food and keep going until her bowl is clean. As far as the health benefits seem to go this food is definitely a good quality food, I do not care if it is grain-free or if it has grain in it a lot of grain-free foods are absolutely horrible for dogs. We've been feeding this food to our girl for about three months and she's now shedding less, more energetic and the probiotics in this blend of food really seem to help her with a few of her other issues. I can't recommend this food enough to people, especially if I hear them say they're feeding their dog a cheap low quality food."
101,Great healthy dog food,My dogs love this it helped them stay satisfied
102,Best dog food,"This product is recommended by the vet. This is the only dog food that my dog eats alone, with no other foods mixed in it. I also, bought it for my friends dog, who has the same problem. And he loves it and can eat just dry dog food alone. This dry dog food must be good, because they can  now eat it with nothing mixed in it. Thy love the freshness and flavor, which makes the quality ingredient the best."
103,Best dry dog food recommended by the vet,The price just goes up and up every month. Not worth the “repeat delivery” because you don’t get anything off. I will just go to the store and pay the same price.
104,Just ok,"This dog food has been life changing for our Boston Terrier. She’s 11, and we’ve been feeding her another “high end” brand of dog food for most of her life, until the recent no-grain dog food brands and link to heart disease news came out. Our vet recommended a list of 2-3 different foods to switch to. We tried this one first, thinking dog food is dog food, but WOW... She has morphed from a slower, senior-acting dog to a frisky and playful pup again! We feed all 3 of our dogs this food (Chihuahua, Boston and Catahoula) and couldn’t be happier. All the dogs love the little meat bits and never leave the kibble uneaten. They love it. We are so happy that this product changed our old dog’s life and made her happier and healthier. Thank you!!!"
105,Gave my old dog new life,Had to switch back to Rachael Ray for my lab didn’t like it a stopped eating and lost weight. Could count his ribs.My niece is a vet and recommends the Pro Plan but he didn’t care for it. My mutt loved it.
106,One dog loved it. The other hated it and lost weight,"First let me say that I have purchased this dog food for both of my dogs for the last 6 years. So I am a LOYAL purina pro plan customer and have only ever used this brand. We have always loved it…until the last couple of months. I’ve ALWAYS had their food stored in airtight containers, but recently I noticed there was bugs and worms in the food. Like not just a few bugs….I mean like infested with bugs and worms. So because I’m such a loyal customer that has loved purina, I thought there’s no way it could be the manufacturer’s fault. I figured I just needed to buy new vacuum sealed containers and that maybe my current containers had an issue. Let me also say that my house is incredibly clean and we don’t have any bugs anywhere else in the house. So I spent money on the top of the line food containers designed to keep out bugs. Then, I checked when I opened a new bag of purina, and I saw the bugs in the bag before I even poured it into my container. That’s when I knew the bug/worm infestation was not our container problem…but a Purina problem. I reported it to amazon and got a refund. Then, I still purchased more purina because I figured maybe it was just a bad batch. Well, now my last 2 orders also had bugs. One of them is outside the return window so I’m frustrated. Honestly my dogs love this food so if I get a response from Purina with how they are going to fix this, I am willing to remain a customer because I know mistakes happen. But if not, I’m going to have to transition my dogs to a different food unfortunately. Or maybe buy it directly from Petco and not amazon?"
107,buyer beware,Food is great delivery and handling is awful.  Been buying this for over two years and it is consistently late or doesn't show up at all and needs to be reordered.
108,DELIVERY IS LATE 95% OF THE TIME BECAUSE THE DRIVERS HATE THE HEAVY BAGS ORDER EARLY!!,Dr recommend this for my dog who’s been having trouble with diarrhea and urinating. So far so good
109,Dr recommend,"My vet recommended this brand several years ago and I stopped using it, one of my dogs have IBS this is the only food that doesn't upset his stomach, this is a great dog food. I have six dogs and they all like it."
110,Veterinary,Please use use instead of usps.  My female postal carrier leaves my 47lb bag at the post office.
111,Good food for your pet,"Mi perrito tiene 16 años y le gusta mucho esta comida, me imagino que tiene buen sabor, yo no lo he probado..!! Jejeje 😆"
112,Great dog food,"When we got our small Sheltie from a breeder (we happily adopted a pup who didn't meet their ""show dog"" standards - but she is perfect to us) they used this brand of food and we continued, first with the puppy formula and now for adults. Our vet approved us continuing and we alternate the chicken a beef with morning/dinner feedings. We like that it has the shredded pieces included to give some variety to traditional kibble. A big bag of each lasts for months/almost a year, so it really isn't too much to spend. Tried the Amazon delivery this time rather than lugging it home from PetCo. I felt for our post woman who had to lug it out of her mail truck, because it is heavy at 35 pounds. At least she pulled up in our driveway to get it out. It sure was convenient for me, and the price the same or slightly less as going to PetCo. I'd give it 5 stars if my Sheltie could talk and give more feedback."
113,A mi perro le gusta,Dog foid
114,Sheltie eats it up,"My dog (coonhound) just turned 3 and every brand I have tried of dog food, she let's sit for hours. I always thought she was a weird dog since she wouldn't scarf down her food or she would walk away after I poured food in her dish. someone told me about this kind so we tried it. She loves it! I have never seen her this excited over food before. She knew what was in the box as soon as I brought it in. She started wagging her tail very excited for dinner."
115,Dog food,"To my husband and I has come our newly adopted Australian Cattle Dog, Ralph, he is 5 years old and he's wonderful!  He's been through the Missouri Puppies for Parole program, offered to prisoners in the State of Missouri.  He LOVES PURINA PRO PLAN DRY FOOD, SAVOR.  His foster mother said "" get Purina Pro Plan for him"".  He is house trained, comes, sits, stays and walks like a champion with me, I am 70 years old.  I jumped into Amazon and found Purina Pro Wet and Dry food for him AND it's PRIME.  The boxes arrived just as I expected. He eats Chicken and Rice.  He's about 44 pounds and at the fosters instruction I give him 1 1/4 cup dry and about 2 big tbls. Wet - 2 X a day.  I mix the wet with a about 1/4 cup very warm water, to make a gravy and then add 1 1/4 cup dry, then mix again.  RALPHY LOVES PURINA!!!!  And I don't have to worry about him being poisoned with foreign foods.  Our last Cattle Dog lived 17 years, with good care and Purina.  WE LOVE PURINA PRO PLAN."
116,My dog loves it!,I gave my dog his first bowl and he loved it! He was almost dancing while he ate! I got him more and he ate a few bites and was full. He went and laid by the bag before I picked it up and poured it in the food storage container. I’ve never seen a dog so happy to get off of a high dollar puppy food and go to adult food. This stuff is amazing!
117,WE GET A GOLD STAR AND SO DOES PURINA!,I have switched my dog to this type of dog food this past year and she seems to like it more and has been doing well stomach wise BUT the last two times I have ordered this from Amazon I have had a problem with the packaging. Please check your bag well. I have ordered numerous times from them and haven't had an issue till the end of November and now in middle of december. First bag had hole (box was fine so it was placed in box with a hole) and I went to return and they replaced it and said not to return which was great and the bag I got was fine. This time the bag wasn't vacuumed sealed and when you look from the top it has a hole! I called Amazon this time and of course customer service is always good and is refunding me (gave me option of getting replaced again but this is the 2nd time so I will go to the store from now on). I called to see if they could make sure this is fixed but I am also posting this to make sure others can see this is really inspect your dog food. Who knows what could get in the bag if theres a hole. Bugs or it could be stale.The dog food itself is good so far. Has little bits of dried meat in it which my dog loves and her sensitive stomach has been good with it.I love Amazon and I'm sure its not every bag of dog food and it could be purinas packaging because this time it was the sealing of the bag but just be careful.
118,Must Taste Great!,"We have feed our 11 yo Aussie iVet for years.He started to refuse to eat. And we've been worried.Finally, I contacted his breeder, and she recommended ProPlan.He literally TORE INTO THE BAG.  He wolfed it down. It was such a relief.She said ""Oh wait for his coat to come in - it's going to really improve and you'll notice a big difference.""Purina is a company you can trust.  Unlike ""Blue Buffalo"" which my friend a vet and also our OWN vet said to avoid like, crazy.Thank goodness, we've been worried so much.Thanks Purina."
119,Hole in one bag and not sealed right in another,and my dog could not be healthier.  All the issues she was having with diarrhea and upset stomach on Blue Buffalo have gone away.  Sensitivity to certain snacks and treats has gone away.  She was never excited about eating Blue Buffalo but now she loves meal times.  I so regret wasting money on such an expensive food before.  And I stock with it because people claimed it was a good food.I did a lot of research on Purina and other dog foods.  I got advice from two vets locally.  And I am very happy I made this choice and I believe my puppy is too.
120,Finally. He loves it.,My spaniel seems to prefer the Purina beef or lamb options.
121,I have now been using this dog for for over a month,"The product was fine .The price not only went up, but the delivery was late . This ended up costing me more money because my dogs ran out of food .I had to go to a store and purchase food until the delivery day. I may end up canceling this automatic purchase because it's going to cost more than buying it locally. I'm worried that the late delivery might happen again ."
122,Not his favorite but acceptable,Gave my dogs diarrhea
123,Price increase and late delivery  = hungry dogs .,"Not top of the line food by any means, but also not the bottom of the line either.  It is a good middle ground food and my dogs seem to do well on it.  I have been feeding it for over a year now.  I may switch it up soon to another flavor, but will stick with Purina Pro Plan as I know they do ALL the testing and follow all the guidelines for good quality food."
124,Gas,"Started my Aussiepoo & my Pyrenees puppy out on the Pro Plan, based on conversations with trainers & a number of veterinarians. They like it, they have had nothing else and they strive on it. What else can be said? Regular check up, Heartgard, Bravecto, etc. They are part of the family. ...both are 2 years old. One Farm Dog & One Lap Dog"
125,Decent food,"Always a vast amount of dried chicken in it, and my dogs stand there and wait for me to cut open the fresh bag every time! Very satisfied, has eliminated my dogs stomach issues, and they love it. Now they refuse to eat any other food. Haha!"
126,Started my Aussiepoo & my Pyrineese puppy out on the Pro Plan.,"We needed a new and one that had good ingredients. The vet suggested Purina pro or royal Canine and we went with this since it was cheaper. It had chunks of dried chicken in it which my pup loves. After a full bag of this I’ve seen her energy, coat and body composition change drastically for the better. Although it’s more expensive it is actually good for your pups and worth it! Buy the bigger bags on sale and put it on auto ship which also gives you a discount"
127,My dogs love this,"Our dogs love this Purina product, flavor and freshness are qualities not found on other products.We recommend this."
128,My dog lives for this,"My dog is a lazy little apartment dweller, and always on the lookout for a snack, so keeping her at a healthy weight is a challenge - there's not much leeway weight-wise when you are a 15 pound dog. She didn't like most canned or dry food, whether from the store or the vet, so she begged all the time. Our vet recommended this food, and even said we should order it at Amazon because it is hard to find on the store shelves here.That vet surely knows his stuff. My dog tore into the first bowl of this food like it was her first meal in days. Over the last three vet visits, her weight has stayed exactly the same. The food is easy to digest, so there is a lot less waste to pick up. The main ingredient is chicken, which is probably a lot better for a carnivore than a corn-based food. She's really cut down on the begging, too. I guess because she is getting better nutrition, she's probably not as hungry all the time. We didn't have to introduce the food gradually, either. Just switched to the new food, no stomach upset or any other trouble.Try it - your dog will thank you! Well, actually, the dog will probably just eat, but you'll know he'd thank you if he could!"
129,Flavor is foremost!,Thank you.
130,"Recommended by our vet, and wow, was he right!","I switched my senior dog to this brand a few months ago. Not only does he eat more regularly, and immediately, he is more energetic and has a shinier coat. Very pleased customer!"
131,My dog really likes to eat it.,Doggo is sick of kibble but this one he eats with pleasure. Will keep purchasing
132,Senior dog love it!,"vet recommended this food for my dog due to her past diet and heart issues. she immediately started eating this, when she’s not a good-oriented dog. never seen her try food and continue to eat it as soon as it’s down! she loves this stuff."
133,Dog loves it,"My dog was eating Pure balance from Walmart, and he was having a lot of allergies during the day. The doctor recommended this brand as his fur was really suffering with his allergies. He is doing pretty good with this brand since then. This was the third time I got his food from Amazon, and the only time I had issues with it was the second time, when I could not find any of the shreds inside of the food. This one was pretty much good so we are happy with this purchase."
134,My Dog Loves This!,"We switched to this brand from Blue Buffalo on a recommendation from our vet and others. Before, our dog was so sluggish and had no energy. He would let his food sit and only take small nibbles of the food. Now, as soon as he hears me scooping this food into his bowl he comes running and stands there and gobbles the entire bowl down and looks for me when he's done! He also is much more energetic! Within a month of eating the new food, his coat has gotten so much more soft and shiny. Definitely will be purchasing another bag!"
135,Good food,"The measure of a good seller is customer service response when there is an issue. The 5 stars are for this supplier (as not been consuming food long enough to rate that yet) as other comments cover well the attributes of the Pro Plan food itself.There was an issue with order fulfillment. The supplier's response was not only swift but supportive as well. Also when researching prior to 1st purchase, seeing supplier's response to issues discussed in comments I thought was very cool.The Bright Mind line is admittedly a major hardship for me as a disabled person to afford, however this supplier was so awesome and reception to the food so far has been positive I plan to switch my cats to the Pro Plan Focus line as well and purchase thru this supplier if at all possible. My furchildren may eat better than I do -- and they are totally worth it. Completing transactions with this seller is as well.Hope this was helpful in making a decision."
136,Our dog loves it!,"I have a cocker spaniel and at mixed breed that both enjoy this food greatly.  My mixed breed is a VERY picky eater.  She would only eat her kibble if it had some ""extra"" in it - gravy, pan drippings, chopped up real meat, etc.  Plain kibble and she would walk away and only eat when she was ""desperate"".  We tried 4 or 5 different ""fancy"" brands one of those had freeze dried meat bits in it. She loved that one ( was super expensive!).  So my wife found this and we've been golden ever since!We've caught our cat picking out the chicken bits in it when the dog wasn't looking as well."
137,Excellent Supplier!,"My dogs love the all Pro Plan flavors, but this is their favorite. My fellas are persnickety in their eating habits, but I have no problem getting them to eat Pro Plan. It's easy on my old guy's stomach, the younger one sucks it down like his belly is rubbing a hole in his backbone, and it provides value with respect to the amount of protein per cup.I care about how much yard I need to clean up weekly, Pro Plan does not promote pooping like some foods do. The feeding is economical (2.5-3 cups for a 50 lb dog) and I have less to clean up in the yard after. My niece's dogs like it too, when I'm dog-sitting. I purchase the 35-pound package, and it lasts 5-6 weeks. The subscription service is offered so that I get it automatically in time for one bag to run out just as I get the new one."
138,Both my dogs and even my cat enjoy this food!,                    The media could not be loaded.
139,Perfect dog food for my guys in an economical package. Subscription shipping meets my needs nicely!,                
140,He Loves It!, I highly recommend this dog food. The video speaks for itself. The freshness and flavor is apparently off the chain by the reaction of our Debo and his piggy oinks while devouring the very 1st bowl I got him. He doesn't ever do that either.
141,Donated to local shelter.,Must be good stuff since Animal  shelter recommended.  Not sure of the taste since I don’t eat dog food.  Tried a dog biscuit about 60 years ago.  Didn’t care for it.  Appears to have lots of protein and was advertised by Westminster Kennel Club.
142,More than just your regular boring bites -,"I just love eating dog food, it's quick on the go and really convenient. Kidding, kidding. My friend recommended this food after I adopted my dog just a month or so ago (she's going on 8 months now). Her dog has been eating it for awhile and well my dog loves it too. It's nice to see other chunks besides just the boring ""dog food"" bites -- the freeze dried yumms that you usually pay extra for at the pet store. This is very affordable and seems to be a high quality food that my dog absolutely loves. I wouldn't say she's a picky eater  by any means so I can say it's a win for all dogs; however, something tells me the extra bits likely help. I plan on buying this for many years to come (hopefully it stays around that long)."
143,LATEST BATCH IS MAKING MY DOGS SICK!!!,"After years of buying this product for our dogs, which was recommended by several vets, our dogs are now getting sick with vomit and diarrhea, waking us up several times at night to have to make a run for it. We thought they may be eating something outside, but we've watched them for a couple of months to make sure they weren't, during which we took them off of the food for weeks at a time, feeding them cooked chicken and rice, instead. They were doing great while on that diet, but as soon as we put them back on the Purina Pro Plan, the fun started all over again, almost immediately. After several times testing this, because we couldn't understand how this could happen, after all of our dogs have been eating this for years, we are taking them off of this food. It's unfortunate because we subscribed to it to save and stay on track, so I have another big bag of it, but it's worth the loss to not have our boys sick. I've read numerous other stories online about similar issues with this food, so we're done.I'm going to reach out to the customer service to see if they're willing to take the unopened bag we currently have back, or not."
144,"Purina Pro Plan with Probiotics Shredded Blend High Protein, Adult Dry Dog Food Chicken & Rice",My dogs love this food!
145,Good dog food and value,"A couple of our dogs are sensitive to just about every ingredient in most dog foods. So we've tried a lot of brands and flavors. So far this one seems like it has been the easiest on our dogs' stomachs and they really like it. And it is considerably cheaper than most brands we've been through. That's a good thing, since 3 of them are over 65 pounds. My only negative would be that the food ships in an enormous box. They could easily shop it in a box half the size."
146,Saves you from carrying out to your car,"Been feeding this to my Molly since she went off of puppy food. This price is about the same as Petsmart but I don’t have to drive to the store load, pay and carry out to my car. Convenience and cost what’s not too like"
147,beef and lamb ProPlan Savor for my Great Dane and Great Dane mix,"I purchase the chicken, beef and lamb ProPlan Savor for my Great Dane and Great Dane mix, they both look forward to me filling their bowls with it every day and both maintain a healthy weight.  Their vet feeds it to their dogs as well so I feel confident this is as good a choice as you can make for someone on a budget that wants to feed their dogs decent food-- that being said, I wish it came in bigger than 35lbs, occasionally if I buy it at the store I can get a bag with an ""extra 10%"" and it lasts a little while longer, but for over $1 a pound I wish there was more in the bag, especially having two dogs that eat as much as mine do, I end up purchasing a new bag every two weeks to keep up with their meals."
148,"All great, except delivery.  You have to pick it up at the Post Office.  Not again for us..","All great, except delivery.  You have to pick it up at the Post Office.  Not again for us.."
149,Quality nutrition for my picky eater,"Bought this dog food for my Great Dane, she's a very picky eater at times, wouldn't eat her regular dog food she has been on for last 2 years, I put some of this dog food in her bowl and she loved it and cleaned the whole bowl, I was amazed! She has been eating this regularly for about a month now with no problems, I mix a little warm water in it to make a gravy and she loves it. Glad I took a chance and tried it!"
150,Golden retriever loved it.,My dog loved it.  There was no stomach issues. The product seemed as fresh as when I purchase this in the b&m stores. Was delivered quickly.
151,The kibble is HUGE!!!,"I fed my beagle the puppy version of this for a bit until she was almost an adult. I figured I could use this for her and my chihuahua.  But this kibble is so big! Even for a beagle, it is huge. I don't know if it is supposed to be this big because I notice the pics of this food it looks much smaller. I wonder if I got a faulty bag? My dogs don't like it as much either."
152,Great,"Fast delivery, good quality!"
